"DATE","Year","Month","Day","Tmin","Tmax","Prec","ssp","gcm","scenario_year","yday","season","id"
"2000-12-05 12:00:00",2000,12,5,8.1,14.19,0,"ssp126","ACCESS-CM2","2075",340,2001,"ssp126--ACCESS-CM2--2075"
"2000-12-06 12:00:00",2000,12,6,5.01,11.86,0,"ssp126","ACCESS-CM2","2075",341,2001,"ssp126--ACCESS-CM2--2075"
"2000-12-07 12:00:00",2000,12,7,6.45,13.66,2.19,"ssp126","ACCESS-CM2","2075",342,2001,"ssp126--ACCESS-CM2--2075"
"2000-12-08 12:00:00",2000,12,8,10.1,14.77,2.45,"ssp126","ACCESS-CM2","2075",343,2001,"ssp126--ACCESS-CM2--2075"
"2000-12-09 12:00:00",2000,12,9,8.64,11.27,1.45,"ssp126","ACCESS-CM2","2075",344,2001,"ssp126--ACCESS-CM2--2075"
"2000-12-10 12:00:00",2000,12,10,8.73,10.86,10.41,"ssp126","ACCESS-CM2","2075",345,2001,"ssp126--ACCESS-CM2--2075"
"2000-12-11 12:00:00",2000,12,11,3.04,9.62,6.16,"ssp126","ACCESS-CM2","2075",346,2001,"ssp126--ACCESS-CM2--2075"
"2000-12-12 12:00:00",2000,12,12,2.35,11.65,1.78,"ssp126","ACCESS-CM2","2075",347,2001,"ssp126--ACCESS-CM2--2075"
"2000-12-13 12:00:00",2000,12,13,7.28,15.97,0,"ssp126","ACCESS-CM2","2075",348,2001,"ssp126--ACCESS-CM2--2075"
"2000-12-14 12:00:00",2000,12,14,9.17,14.96,5.2,"ssp126","ACCESS-CM2","2075",349,2001,"ssp126--ACCESS-CM2--2075"
"2000-12-15 12:00:00",2000,12,15,5.76,10.53,0,"ssp126","ACCESS-CM2","2075",350,2001,"ssp126--ACCESS-CM2--2075"
"2000-12-16 12:00:00",2000,12,16,8.88,14.16,0,"ssp126","ACCESS-CM2","2075",351,2001,"ssp126--ACCESS-CM2--2075"
"2000-12-17 12:00:00",2000,12,17,2.57,7.57,0,"ssp126","ACCESS-CM2","2075",352,2001,"ssp126--ACCESS-CM2--2075"
"2000-12-18 12:00:00",2000,12,18,-3.73,4.25,0.14,"ssp126","ACCESS-CM2","2075",353,2001,"ssp126--ACCESS-CM2--2075"
